id,brand_code,canonical_name,normalized_name,english_name,country_code,category,description,status,created_at,updated_at
,BRAND_MAN_ON_THE_BOON,맨온더분,맨온더분,MAN ON THE BOON,,국내 캐주얼·스트릿,신발겸업,ACTIVE,,
,BRAND_MANHATTAN_RECORDS,맨하탄레코즈,맨하탄레코즈,MANHATTAN RECORDS,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MANHATTAN_PROJECT,맨허튼프로젝트,맨허튼프로젝트,MANHATTAN PROJECT,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MERRELL,머렐,머렐,MERRELL,,신발·스니커즈,,ACTIVE,,
,BRAND_MERGE_AND_MINGLE,머지앤밍글,머지앤밍글,MERGE&MINGLE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MUCHSEE,머치씨,머치씨,MUCHSEE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONDAYFLOW,먼데이플로우,먼데이플로우,MONDAYFLOW,,골프·스포츠라이프,,ACTIVE,,
,BRAND_MUNSINGWEAR,먼싱웨어,먼싱웨어,MUNSINGWEAR,,골프·스포츠라이프,신발겸업,ACTIVE,,
,BRAND_MULLION,멀리온,멀리온,MULLION,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MEGAPHONE,메가폰,메가폰,MEGAPHONE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEDUSE,메듀즈,메듀즈,MEDUSE,,신발·스니커즈,,ACTIVE,,
,BRAND_MERGO,메르고,메르고,MERGO,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MERCIBAND,메르시밴드,메르시밴드,MERCIBAND,,신발·스니커즈,,ACTIVE,,
,BRAND_MERZ_B_SCHWANEN,메르츠 비 슈바넨,메르츠 비 슈바넨,MERZ B. SCHWANEN,,해외 럭셔리·컨템포러리,,ACTIVE,,
,BRAND_MERRYON,메리온,메리온,MERRYON,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MARYJAMES,메리제임스,메리제임스,MARYJAMES,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MERRYCOOP,메리쿱,메리쿱,MERRYCOOP,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MESTARI,메스타리,메스타리,MESTARI,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEA,메아,메아,MEA,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MADEHANMUT,메이드한멋,메이드한멋,MADEHANMUT,,신발·스니커즈,,ACTIVE,,
,BRAND_MAYVERU,메이버유,메이버유,MAYVERU,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MAVENMUSE,메이븐뮤즈,메이븐뮤즈,MAVENMUSE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAKE_A_TOAST,메이크어토스트,메이크어토스트,MAKE A TOAST,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAY_FLOWER,메이플라워,메이플라워,MAY FLOWER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEZZOKUNST,메조쿤스트,메조쿤스트,MEZZOKUNST,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAISON_MARGIELA,메종 마르지엘라,메종 마르지엘라,MAISON MARGIELA,,해외 럭셔리·컨템포러리,신발겸업,ACTIVE,,
,BRAND_MAISON_SPECIAL,메종 스페셜,메종 스페셜,MAISON SPECIAL,,해외 럭셔리·컨템포러리,,ACTIVE,,
,BRAND_MAISON_KITSUN,메종 키츠네,메종 키츠네,MAISON KITSUNÉ,,해외 럭셔리·컨템포러리,무신사 미확인,ACTIVE,,
,BRAND_MAISON246,메종246,메종246,MAISON246,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAISON_DE_ROOMROOM,메종드룸룸,메종드룸룸,MAISON DE ROOMROOM,,신발·스니커즈,,ACTIVE,,
,BRAND_MAISONDEU,메종드유,메종드유,MAISONDEU,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAISONLEHAR,메종르하르,메종르하르,MAISONLEHAR,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAISON_VINE,메종바인,메종바인,MAISON VINE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_METSMOI,메츠무아,메츠무아,METSMOI,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_METAPHER,메타퍼,메타퍼,METAPHER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_METIER,메티에,메티에,METIER,,신발·스니커즈,,ACTIVE,,
,BRAND_MELLOS,멜로스,멜로스,MELLOS,,신발·스니커즈,,ACTIVE,,
,BRAND_MELISSA,멜리사,멜리사,MELISSA,,신발·스니커즈,,ACTIVE,,
,BRAND_WUTHERING_WAVES,명조:워더링 웨이브,명조:워더링 웨이브,WUTHERING WAVES,,라이선스·콜라보,비패션 IP,ACTIVE,,
,BRAND_MO_SPORTS,모 스포츠,모 스포츠,MO SPORTS,,스포츠·액티브,,ACTIVE,,
,BRAND_MONOERA,모노에라,모노에라,MONOERA,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MONOCHROME,모노크롬,모노크롬,MONOCHROME,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MONOPATIN,모노파틴,모노파틴,MONOPATIN,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONOPHOBIA,모노포비아,모노포비아,MONOPHOBIA,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONOFLOW,모노플로우,모노플로우,MONOFLOW,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MODERMENT,모더먼트,모더먼트,MODERMENT,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MODERNSTUDIOS,모던스튜디오,모던스튜디오,MODERNSTUDIOS,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MODERNABLE,모던에이블,모던에이블,MODERNABLE,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MODEN_ARDOR,모덴아르더,모덴아르더,MODEN ARDOR,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MODNINE,모드나인,모드나인,MODNINE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MODIFIED,모디파이드,모디파이드,MODIFIED,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOROA,모로아,모로아,MOROA,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MORL,모르,모르,MORL,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MORVE13,모르브13,모르브13,MORVE13,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MORINGA,모링가,모링가,MORINGA,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOMEN,모먼,모먼,MOMEN,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOMENTIC,모멘틱,모멘틱,MOMENTIC,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MOMET,모멧,모멧,MOMET,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAUVE,모브,모브,MAUVE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOSAN,모산,모산,MOSAN,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MORCEAU_PAR_MORCEAU,모슈파모슈,모슈파모슈,MORCEAU PAR MORCEAU,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOSCHINO,모스키노,모스키노,MOSCHINO,,글로벌 스포츠·캐주얼,,ACTIVE,,
,BRAND_MOSLU,모슬루,모슬루,MOSLU,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MOAA,모아,모아,MOAA,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MOABEL,모아벨,모아벨,MOABEL,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MORE_THAN_LIKE,모어댄라이크,모어댄라이크,MORE THAN LIKE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MORE_THAN_BLACK,모어댄블랙,모어댄블랙,MORE THAN BLACK,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MORE_THAN_PARADISE,모어댄파라다이스,모어댄파라다이스,MORE THAN PARADISE,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MORELIKEIT,모어라이크잇,모어라이크잇,MORELIKEIT,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOREOUT,모어아웃,모어아웃,MOREOUT,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOREJUDE,모어쥬드,모어쥬드,MOREJUDE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOAT,모우트,모우트,MOAT,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOCCASOM,모카썸,모카썸,MOCCASOM,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOFLOS,모프로스,모프로스,MOFLOS,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONSTER_REPUBLIC,몬스터리퍼블릭,몬스터리퍼블릭,MONSTER REPUBLIC,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MONTEETH,몬티스,몬티스,MONTEETH,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOLT,몰트,몰트,MOLT,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MOLPIN,몰핀,몰핀,MOLPIN,,신발·스니커즈,,ACTIVE,,
,BRAND_MONGDAENG,몽댕,몽댕,MONGDAENG,,신발·스니커즈,,ACTIVE,,
,BRAND_MONGDOL,몽돌,몽돌,MONGDOL,,국내 컨템포러리·디자이너,신발겸업,ACTIVE,,
